Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
,,,,,,,,
Group:Cereals,,,,,,,,
,,,,,,,,
Faridabad,6,Tonnes,Guava Alahabad,2500,3500,3000,Rs/Quintal,Guava
Gohana,0.4,Tonnes,Other,2000,4000,2000,Rs/Quintal,Guava
Gurgaon,5.6,Tonnes,Other,2000,4000,3000,Rs/Quintal,Guava
Hansi,1,Tonnes,Other,2500,3500,3000,Rs/Quintal,Guava
Narnaul,0.3,Tonnes,Other,2500,2500,2500,Rs/Quintal,Guava
Pataudi,0.6,Tonnes,Other,2300,2500,2400,Rs/Quintal,Guava
Rohtak,2.7,Tonnes,Other,1500,3000,2500,Rs/Quintal,Guava
Shahabad,0.07,Tonnes,Guava,4500,4500,4500,Rs/Quintal,Guava
Sonepat,0.6,Tonnes,Other,2550,2750,2750,Rs/Quintal,Guava
Thanesar,1.6,Tonnes,Guava,1500,3000,2200,Rs/Quintal,Guava
,,,,,,,,
Hansi,0.1,Tonnes,Other,8000,8000,8000,Rs/Quintal,Mango
"New Grain Market(main), Karnal",0.3,Tonnes,Other,12000,15000,13500,Rs/Quintal,Mango
Rohtak,0.6,Tonnes,Other,4000,6000,5000,Rs/Quintal,Mango
Safidon,0.14,Tonnes,Other,6000,6000,6000,Rs/Quintal,Mango
Thanesar,0.3,Tonnes,Other,8000,12000,10000,Rs/Quintal,Mango
,,,,,,,,
Ambala Cantt.,1.4,Tonnes,Mousambi,2500,3500,3000,Rs/Quintal,Mousambi
Barwala(Hisar),0.5,Tonnes,Other,3000,4000,3500,Rs/Quintal,Mousambi
Faridabad,0.27,Tonnes,Other,2500,3500,3000,Rs/Quintal,Mousambi
Ganaur,0.45,Tonnes,Mousambi,4000,4500,4200,Rs/Quintal,Mousambi
Gohana,2.8,Tonnes,Other,2500,3000,2800,Rs/Quintal,Mousambi
Hansi,5.1,Tonnes,Other,2500,3000,2800,Rs/Quintal,Mousambi
Jagadhri,2.8,Tonnes,Other,2000,3150,2500,Rs/Quintal,Mousambi
Jakhal,0.1,Tonnes,Other,4000,4000,4000,Rs/Quintal,Mousambi
Kosli,0.1,Tonnes,Other,3500,3500,3500,Rs/Quintal,Mousambi
Ladwa,0.2,Tonnes,Mousambi,3000,3500,3300,Rs/Quintal,Mousambi
Meham,0.5,Tonnes,Mousambi,3000,3000,3000,Rs/Quintal,Mousambi
Naraingarh,2.28,Tonnes,Mousambi,2500,3800,3000,Rs/Quintal,Mousambi
Narnaul,1.8,Tonnes,Other,2500,3500,3000,Rs/Quintal,Mousambi
Narwana,3.2,Tonnes,Other,3000,4000,3500,Rs/Quintal,Mousambi
Palwal,1,Tonnes,Mousambi,1800,2000,1900,Rs/Quintal,Mousambi
Pataudi,0.3,Tonnes,Other,2800,3000,2900,Rs/Quintal,Mousambi
Radaur,6,Tonnes,Other,4000,4500,4200,Rs/Quintal,Mousambi
Safidon,1.83,Tonnes,Mousambi,2500,2500,2500,Rs/Quintal,Mousambi
Shahabad,3.25,Tonnes,Mousambi,2500,3395,3000,Rs/Quintal,Mousambi
Thanesar,5.4,Tonnes,Mousambi,2500,4000,3200,Rs/Quintal,Mousambi
Uklana,0.2,Tonnes,Mousambi,4000,4000,4000,Rs/Quintal,Mousambi
,,,,,,,,
Thanesar,3.8,Tonnes,Papaya,3500,4500,4000,Rs/Quintal,Papaya
,,,,,,,,
Faridabad,0.6,Tonnes,Other,3000,4000,3500,Rs/Quintal,Pear
Meham,0.3,Tonnes,Other,5000,5000,5000,Rs/Quintal,Pear
Shahabad,0.15,Tonnes,Other,500,500,500,Rs/Quintal,Pear
,,,,,,,,
Ladwa,0.2,Tonnes,Pine Apple,2500,3200,2900,Rs/Quintal,Pineapple
Rohtak,1.3,Tonnes,Other,1500,3000,2000,Rs/Quintal,Pineapple
Thanesar,0.5,Tonnes,Pine Apple,4000,6000,5000,Rs/Quintal,Pineapple
,,,,,,,,
Faridabad,0.37,Tonnes,Other,3500,10000,6750,Rs/Quintal,Pomegranate
Ganaur,0.05,Tonnes,Pomogranate,10000,12000,10000,Rs/Quintal,Pomegranate
Gurgaon,7.6,Tonnes,Other,5000,10000,7500,Rs/Quintal,Pomegranate
Hansi,0.7,Tonnes,Other,7000,10000,8000,Rs/Quintal,Pomegranate
Indri,0.09,Tonnes,Other,9000,10000,10000,Rs/Quintal,Pomegranate
Ladwa,0.2,Tonnes,Pomogranate,6500,8000,7300,Rs/Quintal,Pomegranate
Naraingarh,0.15,Tonnes,Pomogranate,10000,11000,10700,Rs/Quintal,Pomegranate
Narwana,5,Tonnes,Other,12000,15000,13500,Rs/Quintal,Pomegranate
Shahabad,0.44,Tonnes,Pomogranate,7000,9000,7955,Rs/Quintal,Pomegranate
Sonepat,0.5,Tonnes,Other,8500,8800,8800,Rs/Quintal,Pomegranate
Thanesar,1.5,Tonnes,Pomogranate,10000,20000,15000,Rs/Quintal,Pomegranate
,,,,,,,,
Gohana,0.5,Tonnes,Other,1500,2500,2000,Rs/Quintal,Water Melon
"New Grain Market(main), Karnal",1,Tonnes,Other,2000,2200,2100,Rs/Quintal,Water Melon
Palwal,0.2,Tonnes,Other,1000,1000,1000,Rs/Quintal,Water Melon
Thanesar,0.4,Tonnes,Water Melon,2000,3000,2500,Rs/Quintal,Water Melon
,,,,,,,,
Group:Oil Seeds,,,,,,,,
,,,,,,,,
Bhattu Kalan,0.4,Tonnes,Other,3865,3865,3865,Rs/Quintal,Groundnut
,,,,,,,,
Adampur,0.6,Tonnes,Other,5600,5978,5850,Rs/Quintal,Mustard
,,,,,,,,
Group:Pulses,,,,,,,,
,,,,,,,,
