Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
Safidon,3.9,Tonnes,Other,4000,9000,6000,Rs/Quintal,Apple
Sirsa,10,Tonnes,Other,2800,7000,6000,Rs/Quintal,Apple
Sonepat,1.5,Tonnes,Other,10000,12000,12000,Rs/Quintal,Apple
Uklana,0.1,Tonnes,Apple,6000,6000,6000,Rs/Quintal,Apple
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Other,1500,2500,2200,Rs/Quintal,Banana
Ambala City(Subji Mandi),1300,Tonnes,Other,4000,5000,4500,Rs/Quintal,Banana
Bahadurgarh,14.5,Tonnes,Other,1500,2000,1800,Rs/Quintal,Banana
Barwala(Hisar),10.8,Tonnes,Other,2000,3500,3000,Rs/Quintal,Banana
Ch. Dadri,2.6,Tonnes,Other,1500,4000,2750,Rs/Quintal,Banana
Dhand,0.4,Tonnes,Other,3000,4000,3800,Rs/Quintal,Banana
Gurgaon,6.7,Tonnes,Other,2000,3000,2500,Rs/Quintal,Banana
Hissar,14,Tonnes,Other,1500,1500,1500,Rs/Quintal,Banana
kalanwali,0.1,Tonnes,Other,1800,2000,2000,Rs/Quintal,Banana
Kosli,0.1,Tonnes,Other,2000,2000,2000,Rs/Quintal,Banana
Ladwa,0.7,Tonnes,Banana - Ripe,2500,2800,2500,Rs/Quintal,Banana
Narnaul,1.1,Tonnes,Other,3000,3500,3500,Rs/Quintal,Banana
"New Grain Market(main), Karnal",17.3,Tonnes,Other,1500,3000,2250,Rs/Quintal,Banana
Rania,2,Tonnes,Amruthapani,1600,1800,1700,Rs/Quintal,Banana
Rewari,1.7,Tonnes,Other,1500,2500,2000,Rs/Quintal,Banana
Safidon,1.5,Tonnes,Other,3000,3000,3000,Rs/Quintal,Banana
Sirsa,15,Tonnes,Other,1600,1600,1600,Rs/Quintal,Banana
Sonepat,5.4,Tonnes,Other,2800,3000,3000,Rs/Quintal,Banana
,,,,,,,,
Hansi,0.8,Tonnes,Other,2500,3000,2800,Rs/Quintal,Chikoos(Sapota)
,,,,,,,,
Ambala Cantt.,0.1,Tonnes,Black,10000,10000,10000,Rs/Quintal,Grapes
"New Grain Market(main), Karnal",0.2,Tonnes,Annabesahai,10000,15000,12500,Rs/Quintal,Grapes
Sirsa,0.4,Tonnes,Other,12000,20000,15000,Rs/Quintal,Grapes
,,,,,,,,
Bahadurgarh,2.4,Tonnes,Other,3500,4000,3800,Rs/Quintal,Guava
Barwala(Hisar),0.5,Tonnes,Other,2500,3000,2800,Rs/Quintal,Guava
Ch. Dadri,8,Tonnes,Guava,4000,5000,4500,Rs/Quintal,Guava
Faridabad,0.52,Tonnes,Guava Alahabad,2500,3500,3000,Rs/Quintal,Guava
Gurgaon,5.5,Tonnes,Other,2000,4000,3000,Rs/Quintal,Guava
Hansi,0.6,Tonnes,Other,3000,3500,3300,Rs/Quintal,Guava
Narnaul,0.2,Tonnes,Other,3000,3000,3000,Rs/Quintal,Guava
Sonepat,0.5,Tonnes,Other,2550,2700,2700,Rs/Quintal,Guava
,,,,,,,,
Ch. Dadri,0.1,Tonnes,Badami,6900,7000,6950,Rs/Quintal,Mango
Hansi,0.1,Tonnes,Other,8000,8000,8000,Rs/Quintal,Mango
"New Grain Market(main), Karnal",0.5,Tonnes,Other,10000,15000,12500,Rs/Quintal,Mango
Sirsa,0.2,Tonnes,Other,8000,11000,10000,Rs/Quintal,Mango
Sonepat,0.1,Tonnes,Other,5000,6000,6000,Rs/Quintal,Mango
,,,,,,,,
Ambala Cantt.,2.5,Tonnes,Mousambi,2500,3500,3000,Rs/Quintal,Mousambi(Sweet Lime)
Bahadurgarh,1.7,Tonnes,Other,3000,3500,3200,Rs/Quintal,Mousambi(Sweet Lime)
Barwala(Hisar),0.4,Tonnes,Other,3000,3500,3300,Rs/Quintal,Mousambi(Sweet Lime)
Ch. Dadri,2,Tonnes,Mousambi,2800,3000,2900,Rs/Quintal,Mousambi(Sweet Lime)
Faridabad,0.31,Tonnes,Other,2500,3000,2750,Rs/Quintal,Mousambi(Sweet Lime)
Hansi,9,Tonnes,Other,2500,3000,2800,Rs/Quintal,Mousambi(Sweet Lime)
Kosli,0.1,Tonnes,Other,3000,3000,3000,Rs/Quintal,Mousambi(Sweet Lime)
Ladwa,0.3,Tonnes,Mousambi,3000,3000,3000,Rs/Quintal,Mousambi(Sweet Lime)
Narnaul,1.8,Tonnes,Other,2500,3000,3000,Rs/Quintal,Mousambi(Sweet Lime)
Narwana,3.9,Tonnes,Other,3000,4000,3500,Rs/Quintal,Mousambi(Sweet Lime)
Pataudi,0.3,Tonnes,Other,3200,3400,3300,Rs/Quintal,Mousambi(Sweet Lime)
Safidon,2.1,Tonnes,Mousambi,2500,2500,2500,Rs/Quintal,Mousambi(Sweet Lime)
,,,,,,,,
Narnaul,0.2,Tonnes,Other,3000,3000,3000,Rs/Quintal,Papaya
,,,,,,,,
Faridabad,0.2,Tonnes,Other,3000,4000,3500,Rs/Quintal,Pear(Marasebu)
,,,,,,,,
Ladwa,0.3,Tonnes,Pine Apple,2500,3000,2500,Rs/Quintal,Pineapple
,,,,,,,,
Bahadurgarh,0.2,Tonnes,Other,8000,10000,9000,Rs/Quintal,Pomegranate
Barwala(Hisar),0.1,Tonnes,Other,14000,15000,15000,Rs/Quintal,Pomegranate
Ch. Dadri,4,Tonnes,Other,7500,10000,8750,Rs/Quintal,Pomegranate
Faridabad,0.05,Tonnes,Other,7800,8000,7900,Rs/Quintal,Pomegranate
Gurgaon,8.9,Tonnes,Other,5000,10000,7500,Rs/Quintal,Pomegranate
Hansi,0.5,Tonnes,Other,7000,10000,8000,Rs/Quintal,Pomegranate
Ladwa,0.1,Tonnes,Pomogranate,6000,6000,6000,Rs/Quintal,Pomegranate
Narnaul,0.3,Tonnes,Other,7000,12000,12000,Rs/Quintal,Pomegranate
Pataudi,0.1,Tonnes,Other,8500,9000,8800,Rs/Quintal,Pomegranate
,,,,,,,,
Narnaul,0.2,Tonnes,Other,5000,5000,5000,Rs/Quintal,Tender Coconut
,,,,,,,,
Ch. Dadri,0.3,Tonnes,Other,2400,2500,2450,Rs/Quintal,Water Melon
Faridabad,0.1,Tonnes,Other,1800,2000,1900,Rs/Quintal,Water Melon
"New Grain Market(main), Karnal",1.2,Tonnes,Other,2200,2500,2350,Rs/Quintal,Water Melon
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ambala City,29.2,Tonnes,Green Fodder,210,230,220,Rs/Quintal,Green Fodder
,,,,,,,,
,,,,,,,,
,,,,,,,,
Bahadurgarh,0.2,Tonnes,Other,16000,25000,20000,Rs/Quintal,Garlic
Ganaur,1,Tonnes,Average,15000,20000,18000,Rs/Quintal,Garlic
,,,,,,,,
Ladwa,0.5,Tonnes,Other,4000,5000,4000,Rs/Quintal,Ginger(Dry)
,,,,,,,,
Group:Vegetables,,,,,,,,
,,,,,,,,
Gohana,2.5,Tonnes,Other,2000,3000,2200,Rs/Quintal,Banana - Green
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Bhindi,1000,1200,1100,Rs/Quintal,Bhindi(Ladies Finger)
Bahadurgarh,1.6,Tonnes,Other,1200,1800,1500,Rs/Quintal,Bhindi(Ladies Finger)
Barwala(Hisar),0.6,Tonnes,Other,2000,2500,2500,Rs/Quintal,Bhindi(Ladies Finger)
Ch. Dadri,0.6,Tonnes,Other,1500,2000,1750,Rs/Quintal,Bhindi(Ladies Finger)
Faridabad,5.03,Tonnes,Other,1000,2000,1500,Rs/Quintal,Bhindi(Ladies Finger)
Ganaur,0.7,Tonnes,Bhindi,2000,2500,2200,Rs/Quintal,Bhindi(Ladies Finger)
Gohana,1.1,Tonnes,Other,2000,2600,2200,Rs/Quintal,Bhindi(Ladies Finger)
Hansi,4.1,Tonnes,Other,1200,1200,1200,Rs/Quintal,Bhindi(Ladies Finger)
Hissar,2.9,Tonnes,Other,2000,2500,2500,Rs/Quintal,Bhindi(Ladies Finger)
Jakhal,0.2,Tonnes,Other,2300,2300,2300,Rs/Quintal,Bhindi(Ladies Finger)
Ladwa,0.4,Tonnes,Bhindi,2000,2000,2000,Rs/Quintal,Bhindi(Ladies Finger)
Narnaul,0.7,Tonnes,Other,1000,1500,1500,Rs/Quintal,Bhindi(Ladies Finger)
Safidon,0.27,Tonnes,Bhindi,1500,1500,1500,Rs/Quintal,Bhindi(Ladies Finger)
Siwan,0.7,Tonnes,Other,1600,1700,1700,Rs/Quintal,Bhindi(Ladies Finger)
Sohna,1.65,Tonnes,Bhindi,1500,2000,2000,Rs/Quintal,Bhindi(Ladies Finger)
,,,,,,,,
Ambala Cantt.,1.9,Tonnes,Bitter Gourd,1000,1500,1200,Rs/Quintal,Bitter gourd
Bahadurgarh,0.1,Tonnes,Other,1800,2000,1900,Rs/Quintal,Bitter gourd
Barwala(Hisar),0.2,Tonnes,Other,1400,2000,1500,Rs/Quintal,Bitter gourd
Faridabad,0.25,Tonnes,Other,2000,2500,2250,Rs/Quintal,Bitter gourd
Ganaur,0.1,Tonnes,Bitter Gourd,3000,4000,3500,Rs/Quintal,Bitter gourd
Jakhal,0.2,Tonnes,Other,2500,2500,2500,Rs/Quintal,Bitter gourd
"New Grain Market(main), Karnal",0.4,Tonnes,Other,1500,2500,2000,Rs/Quintal,Bitter gourd
Siwan,0.3,Tonnes,Other,1600,1900,1800,Rs/Quintal,Bitter gourd
Sonepat,0.8,Tonnes,Other,2500,2600,2600,Rs/Quintal,Bitter gourd
,,,,,,,,
Ambala Cantt.,2.5,Tonnes,Bottle Gourd,800,1000,1000,Rs/Quintal,Bottle gourd
Bahadurgarh,3.6,Tonnes,Other,800,1000,900,Rs/Quintal,Bottle gourd
Barwala(Hisar),4,Tonnes,Other,1000,1200,1100,Rs/Quintal,Bottle gourd
Bhiwani,1.3,Tonnes,Bottle Gourd,705,900,820,Rs/Quintal,Bottle gourd
Ch. Dadri,2.4,Tonnes,Other,500,1000,750,Rs/Quintal,Bottle gourd
Faridabad,1.15,Tonnes,Other,800,1800,1300,Rs/Quintal,Bottle gourd
Ganaur,0.75,Tonnes,Bottle Gourd,1500,2000,1800,Rs/Quintal,Bottle gourd
Gurgaon,10.9,Tonnes,Bottle Gourd,1000,1400,1200,Rs/Quintal,Bottle gourd
Jakhal,0.2,Tonnes,Bottle Gourd,1000,1100,1100,Rs/Quintal,Bottle gourd
Kosli,0.1,Tonnes,Bottle Gourd,1500,1500,1500,Rs/Quintal,Bottle gourd
Ladwa,1,Tonnes,Bottle Gourd,800,1000,800,Rs/Quintal,Bottle gourd
Narnaul,4.5,Tonnes,Other,500,1200,1000,Rs/Quintal,Bottle gourd
Narwana,4.9,Tonnes,Bottle Gourd,1000,1000,1000,Rs/Quintal,Bottle gourd
"New Grain Market(main), Karnal",13.2,Tonnes,Other,500,700,600,Rs/Quintal,Bottle gourd
Pataudi,3.3,Tonnes,Other,500,900,700,Rs/Quintal,Bottle gourd
Safidon,9.8,Tonnes,Bottle Gourd,1000,1000,1000,Rs/Quintal,Bottle gourd
Siwan,1,Tonnes,Other,1000,1100,1100,Rs/Quintal,Bottle gourd
Sohna,4.35,Tonnes,Bottle Gourd,1000,1000,1000,Rs/Quintal,Bottle gourd
Sonepat,30.3,Tonnes,Other,1500,1600,1600,Rs/Quintal,Bottle gourd
Uklana,0.9,Tonnes,Bottle Gourd,800,1000,1000,Rs/Quintal,Bottle gourd
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Brinjal,1500,1700,1600,Rs/Quintal,Brinjal
Bahadurgarh,0.3,Tonnes,Other,1000,1500,1200,Rs/Quintal,Brinjal
Barwala(Hisar),0.3,Tonnes,Other,1500,2000,1800,Rs/Quintal,Brinjal
Faridabad,2,Tonnes,Other,1000,2400,1700,Rs/Quintal,Brinjal
Ganaur,0.8,Tonnes,Brinjal,2000,2500,2200,Rs/Quintal,Brinjal
Gohana,0.8,Tonnes,Other,1500,2000,1800,Rs/Quintal,Brinjal
Hansi,2.2,Tonnes,Other,1200,1500,1400,Rs/Quintal,Brinjal
Kosli,0.1,Tonnes,Other,1000,1000,1000,Rs/Quintal,Brinjal
Ladwa,0.3,Tonnes,Brinjal,2000,2000,2000,Rs/Quintal,Brinjal
Narnaul,0.8,Tonnes,Other,1500,2500,2000,Rs/Quintal,Brinjal
"New Grain Market(main), Karnal",8.7,Tonnes,Other,800,1000,900,Rs/Quintal,Brinjal
Pataudi,2.6,Tonnes,Other,1800,2100,2000,Rs/Quintal,Brinjal
Rania,0.1,Tonnes,Other,1700,1900,1800,Rs/Quintal,Brinjal
Sirsa,1.3,Tonnes,Other,1000,2000,1500,Rs/Quintal,Brinjal
Siwan,0.4,Tonnes,Other,1500,1700,1600,Rs/Quintal,Brinjal
Sohna,1.4,Tonnes,Brinjal,1500,2200,1800,Rs/Quintal,Brinjal
Sonepat,3.7,Tonnes,Other,3000,3400,3400,Rs/Quintal,Brinjal
Uklana,0.1,Tonnes,Other,1800,1800,1800,Rs/Quintal,Brinjal
,,,,,,,,
Ambala Cantt.,2,Tonnes,Cabbage,1000,1500,1200,Rs/Quintal,Cabbage
Bahadurgarh,1.1,Tonnes,Other,2800,3000,2900,Rs/Quintal,Cabbage
Faridabad,2.77,Tonnes,Other,1000,1800,1400,Rs/Quintal,Cabbage
Ganaur,0.3,Tonnes,Cabbage,3000,4000,3500,Rs/Quintal,Cabbage
Gurgaon,15.6,Tonnes,Other,1000,2000,1500,Rs/Quintal,Cabbage
Hansi,0.3,Tonnes,Other,2000,2000,2000,Rs/Quintal,Cabbage
Ladwa,0.2,Tonnes,Cabbage,2300,2300,2300,Rs/Quintal,Cabbage
Narnaul,0.3,Tonnes,Other,1500,2000,2000,Rs/Quintal,Cabbage
"New Grain Market(main), Karnal",5.7,Tonnes,Other,1200,1800,1500,Rs/Quintal,Cabbage
Pataudi,1.6,Tonnes,Other,1800,2500,1900,Rs/Quintal,Cabbage
Safidon,0.8,Tonnes,Cabbage,4000,4000,4000,Rs/Quintal,Cabbage
Sirsa,0.5,Tonnes,Cabbage,2200,3200,2700,Rs/Quintal,Cabbage
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Other,2000,3000,2500,Rs/Quintal,Capsicum
Barwala(Hisar),0.1,Tonnes,Capsicum,4000,5000,4500,Rs/Quintal,Capsicum
Faridabad,2.25,Tonnes,Other,1200,2000,1600,Rs/Quintal,Capsicum
Ganaur,2,Tonnes,Capsicum,5000,6000,5500,Rs/Quintal,Capsicum
"New Grain Market(main), Karnal",2.5,Tonnes,Other,2500,4500,3500,Rs/Quintal,Capsicum
Rania,2,Tonnes,Capsicum,1400,1700,1600,Rs/Quintal,Capsicum
Sonepat,0.4,Tonnes,Other,3500,4000,4000,Rs/Quintal,Capsicum
,,,,,,,,
Ambala Cantt.,1.8,Tonnes,Carrot,1000,1200,1100,Rs/Quintal,Carrot
Bahadurgarh,0.2,Tonnes,Other,1500,1800,1600,Rs/Quintal,Carrot
Sonepat,0.3,Tonnes,Other,3600,4200,4200,Rs/Quintal,Carrot
,,,,,,,,
Ambala Cantt.,1.6,Tonnes,Cauliflower,1600,3000,2500,Rs/Quintal,Cauliflower
Barwala(Hisar),0.8,Tonnes,Other,2500,3000,2800,Rs/Quintal,Cauliflower
Bhiwani,0.25,Tonnes,Other,3210,3870,3556,Rs/Quintal,Cauliflower
Ganaur,0.4,Tonnes,Other,2500,3000,2800,Rs/Quintal,Cauliflower
Gurgaon,15.6,Tonnes,Other,3000,5000,4000,Rs/Quintal,Cauliflower
Hansi,0.9,Tonnes,Other,4000,4000,4000,Rs/Quintal,Cauliflower
Jakhal,0.2,Tonnes,African Sarson,4300,4300,4300,Rs/Quintal,Cauliflower
Ladwa,0.5,Tonnes,Cauliflower,3000,4000,3200,Rs/Quintal,Cauliflower
Narnaul,0.4,Tonnes,Other,2500,4000,4000,Rs/Quintal,Cauliflower
"New Grain Market(main), Karnal",11.9,Tonnes,Other,2000,3500,2750,Rs/Quintal,Cauliflower
Pataudi,1.2,Tonnes,Other,2000,2500,2200,Rs/Quintal,Cauliflower
Siwan,0.2,Tonnes,Other,4000,4000,4000,Rs/Quintal,Cauliflower
Sonepat,0.7,Tonnes,Other,5000,5800,5800,Rs/Quintal,Cauliflower
,,,,,,,,
Ambala Cantt.,1,Tonnes,Colacasia,2000,2500,2200,Rs/Quintal,Colacasia
Ladwa,0.2,Tonnes,Other,2500,2700,2500,Rs/Quintal,Colacasia
,,,,,,,,
Ambala Cantt.,1.4,Tonnes,Cucumbar,1200,1700,1500,Rs/Quintal,Cucumbar(Kheera)
Bahadurgarh,0.6,Tonnes,Other,1500,1600,1550,Rs/Quintal,Cucumbar(Kheera)
Barwala(Hisar),1.4,Tonnes,Other,2200,2500,2400,Rs/Quintal,Cucumbar(Kheera)
Ch. Dadri,14,Tonnes,Cucumbar,1500,2500,2000,Rs/Quintal,Cucumbar(Kheera)
Faridabad,6,Tonnes,Other,1000,2200,1600,Rs/Quintal,Cucumbar(Kheera)
Ganaur,0.6,Tonnes,Cucumbar,2500,3000,2800,Rs/Quintal,Cucumbar(Kheera)
Hansi,3.2,Tonnes,Other,2000,2000,2000,Rs/Quintal,Cucumbar(Kheera)
Hissar,6.9,Tonnes,Other,2000,2200,2200,Rs/Quintal,Cucumbar(Kheera)
Jakhal,0.1,Tonnes,Other,2500,2500,2500,Rs/Quintal,Cucumbar(Kheera)
Kosli,0.1,Tonnes,Other,1500,1500,1500,Rs/Quintal,Cucumbar(Kheera)
Ladwa,0.6,Tonnes,Cucumbar,1400,2000,1400,Rs/Quintal,Cucumbar(Kheera)
Narnaul,0.7,Tonnes,Other,1500,2500,2000,Rs/Quintal,Cucumbar(Kheera)
Narwana,1,Tonnes,Cucumbar,2500,2500,2500,Rs/Quintal,Cucumbar(Kheera)
"New Grain Market(main), Karnal",4.2,Tonnes,Other,2000,3000,2500,Rs/Quintal,Cucumbar(Kheera)
Rania,0.1,Tonnes,Other,1600,1800,1700,Rs/Quintal,Cucumbar(Kheera)
Sirsa,5,Tonnes,Other,1700,2500,1800,Rs/Quintal,Cucumbar(Kheera)
Sohna,2.05,Tonnes,Cucumbar,1500,2200,2000,Rs/Quintal,Cucumbar(Kheera)
Sonepat,6,Tonnes,Other,3100,3600,3600,Rs/Quintal,Cucumbar(Kheera)
Uklana,0.7,Tonnes,Cucumbar,1800,1800,1800,Rs/Quintal,Cucumbar(Kheera)
,,,,,,,,
Bahadurgarh,0.3,Tonnes,Other,9000,10000,9500,Rs/Quintal,Ginger(Green)
Ganaur,0.5,Tonnes,Green Ginger,10000,12000,12000,Rs/Quintal,Ginger(Green)
Narnaul,2,Tonnes,Green Ginger,5000,5000,5000,Rs/Quintal,Ginger(Green)
Sonepat,0.2,Tonnes,Other,2800,3000,3000,Rs/Quintal,Ginger(Green)
,,,,,,,,
Ambala Cantt.,1,Tonnes,Green Chilly,2500,3000,2800,Rs/Quintal,Green Chilli
Ch. Dadri,13,Tonnes,Green Chilly,2000,5000,3500,Rs/Quintal,Green Chilli
Faridabad,1.95,Tonnes,Other,2000,4000,3000,Rs/Quintal,Green Chilli
Ganaur,0.55,Tonnes,Green Chilly,6000,7000,6500,Rs/Quintal,Green Chilli
Gohana,0.6,Tonnes,Other,3000,5000,4000,Rs/Quintal,Green Chilli
Ladwa,0.8,Tonnes,Green Chilly,2000,2500,2000,Rs/Quintal,Green Chilli
Narnaul,1,Tonnes,Other,2000,5000,4000,Rs/Quintal,Green Chilli
Rania,0.2,Tonnes,Green Chilly,1900,2100,2000,Rs/Quintal,Green Chilli
Sohna,1.1,Tonnes,Green Chilly,2500,4000,3000,Rs/Quintal,Green Chilli
Sonepat,2.1,Tonnes,Other,2600,2800,2800,Rs/Quintal,Green Chilli
,,,,,,,,
Barwala(Hisar),0.2,Tonnes,Other,1400,1500,1500,Rs/Quintal,Leafy Vegetable
Siwan,0.1,Tonnes,Other,1200,1200,1200,Rs/Quintal,Leafy Vegetable
,,,,,,,,
Ambala Cantt.,2,Tonnes,Other,4000,5000,4500,Rs/Quintal,Lemon
Bahadurgarh,0.3,Tonnes,Other,8000,10000,9000,Rs/Quintal,Lemon
Ganaur,0.05,Tonnes,Lemon,14000,15000,15000,Rs/Quintal,Lemon
Hansi,0.2,Tonnes,Other,5000,6000,6000,Rs/Quintal,Lemon
Ladwa,0.3,Tonnes,Lemon,6000,8000,6800,Rs/Quintal,Lemon
Narnaul,0.2,Tonnes,Other,5000,5000,5000,Rs/Quintal,Lemon
"New Grain Market(main), Karnal",0.2,Tonnes,Other,4000,5000,4500,Rs/Quintal,Lemon
Rania,1,Tonnes,Lemon,1600,1800,1700,Rs/Quintal,Lemon
Uklana,0.2,Tonnes,Other,8000,8000,8000,Rs/Quintal,Lemon
,,,,,,,,
Faridabad,24.5,Tonnes,Little gourd (Kundru),1500,2500,2000,Rs/Quintal,Little gourd (Kundru)
,,,,,,,,
Ambala Cantt.,9.8,Tonnes,Other,3000,3800,3500,Rs/Quintal,Onion
Barwala(Hisar),1.5,Tonnes,Other,3000,4000,3500,Rs/Quintal,Onion
Ch. Dadri,1.6,Tonnes,Other,2800,4000,3400,Rs/Quintal,Onion
Farukh Nagar,0.8,Tonnes,Other,2700,3500,2700,Rs/Quintal,Onion
Ganaur,0.6,Tonnes,Onion,3500,4000,3800,Rs/Quintal,Onion
Gohana,4.8,Tonnes,Other,3000,4000,3500,Rs/Quintal,Onion
Gurgaon,56.7,Tonnes,Other,2000,4000,3000,Rs/Quintal,Onion
Hansi,5,Tonnes,Other,3800,4000,3900,Rs/Quintal,Onion
Hissar,4.8,Tonnes,Other,2500,4100,3500,Rs/Quintal,Onion
Jakhal,0.1,Tonnes,Other,4500,4500,4500,Rs/Quintal,Onion
Jhajjar,7.2,Tonnes,Other,4000,4500,4200,Rs/Quintal,Onion
Jind,11.8,Tonnes,Other,2500,4000,3800,Rs/Quintal,Onion
Ladwa,0.4,Tonnes,Onion,4200,4500,4200,Rs/Quintal,Onion
Mustafabad,0.12,Tonnes,Other,3000,3500,3200,Rs/Quintal,Onion
Narnaul,1.6,Tonnes,Other,3000,4000,4000,Rs/Quintal,Onion
Narwana,5.5,Tonnes,Other,3600,3600,3600,Rs/Quintal,Onion
"New Grain Market(main), Karnal",3,Tonnes,Other,2800,4000,3400,Rs/Quintal,Onion
Pundri,0.3,Tonnes,Other,3400,3500,3450,Rs/Quintal,Onion
Rania,0.2,Tonnes,Other,1900,2200,2000,Rs/Quintal,Onion
Rewari,1.5,Tonnes,Medium,1000,5000,3000,Rs/Quintal,Onion
Sirsa,16.6,Tonnes,Other,3500,3600,3550,Rs/Quintal,Onion
Siwan,0.4,Tonnes,Other,3400,3500,3500,Rs/Quintal,Onion
Sohna,2.25,Tonnes,Onion,3500,4000,3600,Rs/Quintal,Onion
Sonepat,27.3,Tonnes,Other,3500,3700,3700,Rs/Quintal,Onion
Tohana(New Veg Market),3,Tonnes,Onion,3600,3800,3800,Rs/Quintal,Onion
Uklana,0.6,Tonnes,Onion,3600,3600,3600,Rs/Quintal,Onion
,,,,,,,,
"New Grain Market(main), Karnal",0.6,Tonnes,Other,4000,9000,6500,Rs/Quintal,Peas cod
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Peas Wet,5000,6000,5500,Rs/Quintal,Peas Wet
Ganaur,0.1,Tonnes,Peas Wet,12000,15000,14000,Rs/Quintal,Peas Wet
Hansi,0.1,Tonnes,Other,8000,8000,8000,Rs/Quintal,Peas Wet
,,,,,,,,
Faridabad,10,Tonnes,Other,1500,2500,2000,Rs/Quintal,Pointed gourd (Parval)
Narnaul,0.1,Tonnes,Other,2000,2000,2000,Rs/Quintal,Pointed gourd (Parval)
,,,,,,,,
Barwala(Hisar),10,Tonnes,Other,1500,2000,1800,Rs/Quintal,Potato
Ch. Dadri,5.6,Tonnes,Other,2000,2100,2050,Rs/Quintal,Potato
Cheeka,2,Tonnes,Other,1800,2000,1900,Rs/Quintal,Potato
Dhand,0.5,Tonnes,Other,2000,2200,2100,Rs/Quintal,Potato
Farukh Nagar,3.1,Tonnes,Other,1500,2500,1500,Rs/Quintal,Potato
Ganaur,2.5,Tonnes,Potato,2000,2500,2200,Rs/Quintal,Potato
Gohana,16.5,Tonnes,Other,1500,2600,2500,Rs/Quintal,Potato
Gurgaon,186.6,Tonnes,Other,1500,2000,1750,Rs/Quintal,Potato
Hansi,27.4,Tonnes,Other,2000,3500,2000,Rs/Quintal,Potato
Hissar,51.4,Tonnes,Other,1800,2600,2300,Rs/Quintal,Potato
Jhajjar,14,Tonnes,Other,2300,2800,2500,Rs/Quintal,Potato
Jind,18.7,Tonnes,Other,2000,2400,2300,Rs/Quintal,Potato
Loharu,1,Tonnes,Other,2200,2400,2400,Rs/Quintal,Potato
Mustafabad,0.4,Tonnes,Other,1800,2200,2000,Rs/Quintal,Potato
Narnaul,2.8,Tonnes,Other,2300,2500,2500,Rs/Quintal,Potato
Narwana,9,Tonnes,Other,2500,2500,2500,Rs/Quintal,Potato
"New Grain Market(main), Karnal",85.5,Tonnes,Other,1400,2000,1700,Rs/Quintal,Potato
Pataudi,2.3,Tonnes,Other,1400,1600,1500,Rs/Quintal,Potato
Rania,0.2,Tonnes,Other,1700,1900,1800,Rs/Quintal,Potato
Rewari,4,Tonnes,Other,1000,3000,2000,Rs/Quintal,Potato
Sirsa,26.7,Tonnes,Other,900,1700,1500,Rs/Quintal,Potato
Siwan,0.5,Tonnes,Other,2000,2100,2000,Rs/Quintal,Potato
Sohna,5.35,Tonnes,Potato,2000,2200,2200,Rs/Quintal,Potato
