Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
,,,,,,,,
Group:Cereals,,,,,,,,
,,,,,,,,
Kunjpura,126.5,Tonnes,Basmati 1509,2310,2630,2450,Rs/Quintal,Paddy
Nilokheri,43.6,Tonnes,Basmati 1509,1650,2600,2581,Rs/Quintal,Paddy
Tohana,2.4,Tonnes,1121,2130,2130,2130,Rs/Quintal,Paddy
,,,,,,,,
Group:Fruits,,,,,,,,
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Apple,3500,8000,5500,Rs/Quintal,Apple
Bahadurgarh,4.4,Tonnes,Other,5000,8000,6000,Rs/Quintal,Apple
Barwala(Hisar),1.2,Tonnes,Other,4000,6000,5000,Rs/Quintal,Apple
Bhiwani,0.05,Tonnes,Apple,7540,11200,8947,Rs/Quintal,Apple
Ch. Dadri,18,Tonnes,Other,3000,10000,6500,Rs/Quintal,Apple
Dhand,0.1,Tonnes,Other,8500,9000,8900,Rs/Quintal,Apple
Faridabad,1.2,Tonnes,Apple,4000,8000,6000,Rs/Quintal,Apple
Gohana,2.6,Tonnes,Apple,6000,8000,7000,Rs/Quintal,Apple
Gurgaon,17.8,Tonnes,Other,8000,10000,9000,Rs/Quintal,Apple
Hansi,4.9,Tonnes,Other,5000,9000,7000,Rs/Quintal,Apple
Hissar,4.8,Tonnes,Other,4000,10000,8000,Rs/Quintal,Apple
,,Tonnes,,11000,14000,12500,Rs/Quintal,Apple
Ladwa,0.6,Tonnes,Apple,5000,7500,6200,Rs/Quintal,Apple
Narnaul,1.4,Tonnes,Apple,6000,8000,7000,Rs/Quintal,Apple
Narwana,1.7,Tonnes,Other,8000,12000,10000,Rs/Quintal,Apple
"New Grain Market , Panchkula",1,Tonnes,Apple,8500,9500,9000,Rs/Quintal,Apple
"New Grain Market(main), Karnal",14.7,Tonnes,Other,3000,10000,6500,Rs/Quintal,Apple
Pataudi,0.2,Tonnes,Other,6500,7500,7000,Rs/Quintal,Apple
Rewari,5.6,Tonnes,Apple,5000,15000,10000,Rs/Quintal,Apple
