Date,Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
02-09-2024,Jhajjar,14,Tonnes,Other,2300,2800,2500,Rs/Quintal,Potato
02-09-2024,Jind,18.7,Tonnes,Other,2000,2400,2300,Rs/Quintal,Potato
02-09-2024,Loharu,1,Tonnes,Other,2200,2400,2400,Rs/Quintal,Potato
02-09-2024,Mustafabad,0.4,Tonnes,Other,1800,2200,2000,Rs/Quintal,Potato
02-09-2024,Narnaul,2.8,Tonnes,Other,2300,2500,2500,Rs/Quintal,Potato
02-09-2024,Narwana,9,Tonnes,Other,2500,2500,2500,Rs/Quintal,Potato
02-09-2024,"New Grain Market(main), Karnal",85.5,Tonnes,Other,1400,2000,1700,Rs/Quintal,Potato
02-09-2024,Rania,0.2,Tonnes,Other,1700,1900,1800,Rs/Quintal,Potato
02-09-2024,Rewari,4,Tonnes,Other,1000,3000,2000,Rs/Quintal,Potato
02-09-2024,Sirsa,26.7,Tonnes,Other,900,1700,1500,Rs/Quintal,Potato
02-09-2024,Siwan,0.5,Tonnes,Other,2000,2100,2000,Rs/Quintal,Potato
02-09-2024,Sohna,5.35,Tonnes,Potato,2000,2200,2200,Rs/Quintal,Potato
02-09-2024,Sonepat,23.7,Tonnes,Other,2600,2700,2700,Rs/Quintal,Potato
02-09-2024,Uklana,0.4,Tonnes,Potato,2000,2000,2000,Rs/Quintal,Potato
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,1.6,Tonnes,Other,1000,1300,1200,Rs/Quintal,Pumpkin
02-09-2024,Faridabad,38.2,Tonnes,Other,1000,2000,1500,Rs/Quintal,Pumpkin
02-09-2024,Ganaur,4,Tonnes,Pumpkin,1500,2000,1800,Rs/Quintal,Pumpkin
02-09-2024,Hissar,4.1,Tonnes,Other,700,1500,1200,Rs/Quintal,Pumpkin
02-09-2024,Kosli,0.2,Tonnes,Other,1000,1000,1000,Rs/Quintal,Pumpkin
02-09-2024,Ladwa,0.1,Tonnes,Pumpkin,1500,1500,1500,Rs/Quintal,Pumpkin
02-09-2024,Narnaul,0.4,Tonnes,Other,1200,1500,1500,Rs/Quintal,Pumpkin
02-09-2024,"New Grain Market(main), Karnal",3.9,Tonnes,Other,1800,2000,1900,Rs/Quintal,Pumpkin
02-09-2024,Rania,1,Tonnes,Other,1500,1800,1700,Rs/Quintal,Pumpkin
02-09-2024,,,,,,,,,
02-09-2024,Hansi,0.7,Tonnes,Other,2000,2000,2000,Rs/Quintal,Raddish
02-09-2024,Ladwa,0.3,Tonnes,Raddish,1500,1500,1500,Rs/Quintal,Raddish
02-09-2024,Narnaul,0.2,Tonnes,Other,3000,3000,3000,Rs/Quintal,Raddish
02-09-2024,Siwan,0.3,Tonnes,Other,1000,1200,1100,Rs/Quintal,Raddish
02-09-2024,,,,,,,,,
02-09-2024,Ganaur,0.4,Tonnes,Ridgeguard(Tori),2500,3000,2800,Rs/Quintal,Ridgeguard(Tori)
02-09-2024,Hansi,2.1,Tonnes,Other,1500,1500,1500,Rs/Quintal,Ridgeguard(Tori)
02-09-2024,Jakhal,0.2,Tonnes,Other,3500,3800,3800,Rs/Quintal,Ridgeguard(Tori)
02-09-2024,Ladwa,0.1,Tonnes,Ridgeguard(Tori),1000,1000,1000,Rs/Quintal,Ridgeguard(Tori)
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),1.1,Tonnes,Other,1000,1500,1400,Rs/Quintal,Round gourd
02-09-2024,,,,,,,,,
02-09-2024,Ganaur,0.2,Tonnes,Spinach,2000,3000,2500,Rs/Quintal,Spinach
02-09-2024,Hansi,1.1,Tonnes,Other,1000,1000,1000,Rs/Quintal,Spinach
02-09-2024,Sonepat,0.7,Tonnes,Other,1500,2000,2000,Rs/Quintal,Spinach
02-09-2024,,,,,,,,,
02-09-2024,Faridabad,3.2,Tonnes,Other,800,2000,1400,Rs/Quintal,Sponge gourd
02-09-2024,Narnaul,0.3,Tonnes,Other,1000,1500,1500,Rs/Quintal,Sponge gourd
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),0.2,Tonnes,Other,4000,5000,4500,Rs/Quintal,Tinda
02-09-2024,Ch. Dadri,0.7,Tonnes,Other,3000,4000,3500,Rs/Quintal,Tinda
02-09-2024,Ganaur,0.05,Tonnes,Tinda,3000,4000,3500,Rs/Quintal,Tinda
02-09-2024,Hansi,1.4,Tonnes,Other,2500,3000,2800,Rs/Quintal,Tinda
02-09-2024,Narnaul,0.8,Tonnes,Other,2500,4000,3000,Rs/Quintal,Tinda
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,9,Tonnes,Other,2300,2500,2400,Rs/Quintal,Tomato
02-09-2024,Barwala(Hisar),3.1,Tonnes,Other,1500,2000,1800,Rs/Quintal,Tomato
02-09-2024,Bhiwani,0.4,Tonnes,Tomato,3000,3500,3200,Rs/Quintal,Tomato
02-09-2024,Ch. Dadri,4.9,Tonnes,Other,1600,2800,2200,Rs/Quintal,Tomato
02-09-2024,Dhand,0.1,Tonnes,Deshi,2000,2100,2050,Rs/Quintal,Tomato
02-09-2024,Farukh Nagar,3.2,Tonnes,Other,1500,2200,1500,Rs/Quintal,Tomato
02-09-2024,Ganaur,1.75,Tonnes,Tomato,3000,4000,3500,Rs/Quintal,Tomato
02-09-2024,Gohana,1.1,Tonnes,Tomato,2000,2600,2200,Rs/Quintal,Tomato
02-09-2024,Gurgaon,65.5,Tonnes,Other,1500,2500,2000,Rs/Quintal,Tomato
02-09-2024,Hansi,14.3,Tonnes,Other,2500,2500,2500,Rs/Quintal,Tomato
02-09-2024,Hissar,22.5,Tonnes,Other,1500,1800,1600,Rs/Quintal,Tomato
02-09-2024,Jakhal,0.3,Tonnes,Other,2100,2200,2200,Rs/Quintal,Tomato
02-09-2024,Jhajjar,3.5,Tonnes,Other,2800,3200,3000,Rs/Quintal,Tomato
02-09-2024,Jind,9.6,Tonnes,Other,2000,3500,3000,Rs/Quintal,Tomato
02-09-2024,Ladwa,2,Tonnes,Tomato,1800,2000,1800,Rs/Quintal,Tomato
02-09-2024,Narnaul,3.7,Tonnes,Other,2000,2500,2500,Rs/Quintal,Tomato
02-09-2024,Narwana,2.2,Tonnes,Other,2500,2500,2500,Rs/Quintal,Tomato
02-09-2024,"New Grain Market(main), Karnal",3,Tonnes,Other,2800,4000,3400,Rs/Quintal,Tomato
02-09-2024,Rania,0.2,Tonnes,Other,1900,2100,2000,Rs/Quintal,Tomato
02-09-2024,Rewari,8.7,Tonnes,Other,1000,3000,2000,Rs/Quintal,Tomato
02-09-2024,Sirsa,9.8,Tonnes,Other,1500,2200,2000,Rs/Quintal,Tomato
02-09-2024,Siwan,0.6,Tonnes,Other,2400,2500,2500,Rs/Quintal,Tomato
02-09-2024,Sohna,2.3,Tonnes,Tomato,2000,3000,2500,Rs/Quintal,Tomato
02-09-2024,Sonepat,10.1,Tonnes,Other,2300,2900,2900,Rs/Quintal,Tomato
02-09-2024,Uklana,0.3,Tonnes,Other,2000,2000,2000,Rs/Quintal,Tomato
