Date,Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
02-09-2024,Hansi,9,Tonnes,Other,2500,3000,2800,Rs/Quintal,Mousambi(Sweet Lime)
02-09-2024,Kosli,0.1,Tonnes,Other,3000,3000,3000,Rs/Quintal,Mousambi(Sweet Lime)
02-09-2024,Ladwa,0.3,Tonnes,Mousambi,3000,3000,3000,Rs/Quintal,Mousambi(Sweet Lime)
02-09-2024,Narnaul,1.8,Tonnes,Other,2500,3000,3000,Rs/Quintal,Mousambi(Sweet Lime)
02-09-2024,Narwana,3.9,Tonnes,Other,3000,4000,3500,Rs/Quintal,Mousambi(Sweet Lime)
02-09-2024,,,,,,,,,
02-09-2024,Narnaul,0.2,Tonnes,Other,3000,3000,3000,Rs/Quintal,Papaya
02-09-2024,,,,,,,,,
02-09-2024,Faridabad,0.2,Tonnes,Other,3000,4000,3500,Rs/Quintal,Pear(Marasebu)
02-09-2024,,,,,,,,,
02-09-2024,Ladwa,0.3,Tonnes,Pine Apple,2500,3000,2500,Rs/Quintal,Pineapple
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.2,Tonnes,Other,8000,10000,9000,Rs/Quintal,Pomegranate
02-09-2024,Barwala(Hisar),0.1,Tonnes,Other,14000,15000,15000,Rs/Quintal,Pomegranate
02-09-2024,Ch. Dadri,4,Tonnes,Other,7500,10000,8750,Rs/Quintal,Pomegranate
02-09-2024,Faridabad,0.05,Tonnes,Other,7800,8000,7900,Rs/Quintal,Pomegranate
02-09-2024,Gurgaon,8.9,Tonnes,Other,5000,10000,7500,Rs/Quintal,Pomegranate
02-09-2024,Hansi,0.5,Tonnes,Other,7000,10000,8000,Rs/Quintal,Pomegranate
02-09-2024,Ladwa,0.1,Tonnes,Pomogranate,6000,6000,6000,Rs/Quintal,Pomegranate
02-09-2024,Narnaul,0.3,Tonnes,Other,7000,12000,12000,Rs/Quintal,Pomegranate
02-09-2024,,,,,,,,,
02-09-2024,Narnaul,0.2,Tonnes,Other,5000,5000,5000,Rs/Quintal,Tender Coconut
02-09-2024,,,,,,,,,
02-09-2024,Ch. Dadri,0.3,Tonnes,Other,2400,2500,2450,Rs/Quintal,Water Melon
02-09-2024,Faridabad,0.1,Tonnes,Other,1800,2000,1900,Rs/Quintal,Water Melon
02-09-2024,"New Grain Market(main), Karnal",1.2,Tonnes,Other,2200,2500,2350,Rs/Quintal,Water Melon
02-09-2024,,,,,,,,,
02-09-2024,Group:Other,,,,,,,,
02-09-2024,Ambala City,29.2,Tonnes,Green Fodder,210,230,220,Rs/Quintal,Green Fodder
02-09-2024,,,,,,,,,
02-09-2024,Group:Spices,,,,,,,,
02-09-2024,Bahadurgarh,0.2,Tonnes,Other,16000,25000,20000,Rs/Quintal,Garlic
02-09-2024,Ganaur,1,Tonnes,Average,15000,20000,18000,Rs/Quintal,Garlic
02-09-2024,,,,,,,,,
02-09-2024,Ladwa,0.5,Tonnes,Other,4000,5000,4000,Rs/Quintal,Ginger(Dry)
02-09-2024,,,,,,,,,
02-09-2024,Group:Vegetables,,,,,,,,
02-09-2024,,,,,,,,,
02-09-2024,Gohana,2.5,Tonnes,Other,2000,3000,2200,Rs/Quintal,Banana - Green
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,1.6,Tonnes,Other,1200,1800,1500,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Barwala(Hisar),0.6,Tonnes,Other,2000,2500,2500,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Ch. Dadri,0.6,Tonnes,Other,1500,2000,1750,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Faridabad,5.03,Tonnes,Other,1000,2000,1500,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Ganaur,0.7,Tonnes,Bhindi,2000,2500,2200,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Gohana,1.1,Tonnes,Other,2000,2600,2200,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Hansi,4.1,Tonnes,Other,1200,1200,1200,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Hissar,2.9,Tonnes,Other,2000,2500,2500,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Jakhal,0.2,Tonnes,Other,2300,2300,2300,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Ladwa,0.4,Tonnes,Bhindi,2000,2000,2000,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Narnaul,0.7,Tonnes,Other,1000,1500,1500,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Siwan,0.7,Tonnes,Other,1600,1700,1700,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,Sohna,1.65,Tonnes,Bhindi,1500,2000,2000,Rs/Quintal,Bhindi(Ladies Finger)
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.1,Tonnes,Other,1800,2000,1900,Rs/Quintal,Bitter gourd
02-09-2024,Barwala(Hisar),0.2,Tonnes,Other,1400,2000,1500,Rs/Quintal,Bitter gourd
02-09-2024,Faridabad,0.25,Tonnes,Other,2000,2500,2250,Rs/Quintal,Bitter gourd
02-09-2024,Ganaur,0.1,Tonnes,Bitter Gourd,3000,4000,3500,Rs/Quintal,Bitter gourd
02-09-2024,Jakhal,0.2,Tonnes,Other,2500,2500,2500,Rs/Quintal,Bitter gourd
02-09-2024,"New Grain Market(main), Karnal",0.4,Tonnes,Other,1500,2500,2000,Rs/Quintal,Bitter gourd
02-09-2024,Siwan,0.3,Tonnes,Other,1600,1900,1800,Rs/Quintal,Bitter gourd
02-09-2024,Sonepat,0.8,Tonnes,Other,2500,2600,2600,Rs/Quintal,Bitter gourd
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,3.6,Tonnes,Other,800,1000,900,Rs/Quintal,Bottle gourd
02-09-2024,Barwala(Hisar),4,Tonnes,Other,1000,1200,1100,Rs/Quintal,Bottle gourd
02-09-2024,Bhiwani,1.3,Tonnes,Bottle Gourd,705,900,820,Rs/Quintal,Bottle gourd
02-09-2024,Ch. Dadri,2.4,Tonnes,Other,500,1000,750,Rs/Quintal,Bottle gourd
02-09-2024,Faridabad,1.15,Tonnes,Other,800,1800,1300,Rs/Quintal,Bottle gourd
02-09-2024,Ganaur,0.75,Tonnes,Bottle Gourd,1500,2000,1800,Rs/Quintal,Bottle gourd
02-09-2024,Gurgaon,10.9,Tonnes,Bottle Gourd,1000,1400,1200,Rs/Quintal,Bottle gourd
02-09-2024,Jakhal,0.2,Tonnes,Bottle Gourd,1000,1100,1100,Rs/Quintal,Bottle gourd
02-09-2024,Kosli,0.1,Tonnes,Bottle Gourd,1500,1500,1500,Rs/Quintal,Bottle gourd
02-09-2024,Ladwa,1,Tonnes,Bottle Gourd,800,1000,800,Rs/Quintal,Bottle gourd
02-09-2024,Narnaul,4.5,Tonnes,Other,500,1200,1000,Rs/Quintal,Bottle gourd
02-09-2024,Narwana,4.9,Tonnes,Bottle Gourd,1000,1000,1000,Rs/Quintal,Bottle gourd
02-09-2024,"New Grain Market(main), Karnal",13.2,Tonnes,Other,500,700,600,Rs/Quintal,Bottle gourd
02-09-2024,Siwan,1,Tonnes,Other,1000,1100,1100,Rs/Quintal,Bottle gourd
02-09-2024,Sohna,4.35,Tonnes,Bottle Gourd,1000,1000,1000,Rs/Quintal,Bottle gourd
02-09-2024,Sonepat,30.3,Tonnes,Other,1500,1600,1600,Rs/Quintal,Bottle gourd
02-09-2024,Uklana,0.9,Tonnes,Bottle Gourd,800,1000,1000,Rs/Quintal,Bottle gourd
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.3,Tonnes,Other,1000,1500,1200,Rs/Quintal,Brinjal
02-09-2024,Barwala(Hisar),0.3,Tonnes,Other,1500,2000,1800,Rs/Quintal,Brinjal
02-09-2024,Faridabad,2,Tonnes,Other,1000,2400,1700,Rs/Quintal,Brinjal
02-09-2024,Ganaur,0.8,Tonnes,Brinjal,2000,2500,2200,Rs/Quintal,Brinjal
02-09-2024,Gohana,0.8,Tonnes,Other,1500,2000,1800,Rs/Quintal,Brinjal
02-09-2024,Hansi,2.2,Tonnes,Other,1200,1500,1400,Rs/Quintal,Brinjal
02-09-2024,Kosli,0.1,Tonnes,Other,1000,1000,1000,Rs/Quintal,Brinjal
02-09-2024,Ladwa,0.3,Tonnes,Brinjal,2000,2000,2000,Rs/Quintal,Brinjal
02-09-2024,Narnaul,0.8,Tonnes,Other,1500,2500,2000,Rs/Quintal,Brinjal
02-09-2024,"New Grain Market(main), Karnal",8.7,Tonnes,Other,800,1000,900,Rs/Quintal,Brinjal
02-09-2024,Rania,0.1,Tonnes,Other,1700,1900,1800,Rs/Quintal,Brinjal
02-09-2024,Sirsa,1.3,Tonnes,Other,1000,2000,1500,Rs/Quintal,Brinjal
02-09-2024,Siwan,0.4,Tonnes,Other,1500,1700,1600,Rs/Quintal,Brinjal
02-09-2024,Sohna,1.4,Tonnes,Brinjal,1500,2200,1800,Rs/Quintal,Brinjal
02-09-2024,Sonepat,3.7,Tonnes,Other,3000,3400,3400,Rs/Quintal,Brinjal
02-09-2024,Uklana,0.1,Tonnes,Other,1800,1800,1800,Rs/Quintal,Brinjal
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,1.1,Tonnes,Other,2800,3000,2900,Rs/Quintal,Cabbage
02-09-2024,Faridabad,2.77,Tonnes,Other,1000,1800,1400,Rs/Quintal,Cabbage
02-09-2024,Ganaur,0.3,Tonnes,Cabbage,3000,4000,3500,Rs/Quintal,Cabbage
02-09-2024,Gurgaon,15.6,Tonnes,Other,1000,2000,1500,Rs/Quintal,Cabbage
02-09-2024,Hansi,0.3,Tonnes,Other,2000,2000,2000,Rs/Quintal,Cabbage
02-09-2024,Ladwa,0.2,Tonnes,Cabbage,2300,2300,2300,Rs/Quintal,Cabbage
02-09-2024,Narnaul,0.3,Tonnes,Other,1500,2000,2000,Rs/Quintal,Cabbage
02-09-2024,"New Grain Market(main), Karnal",5.7,Tonnes,Other,1200,1800,1500,Rs/Quintal,Cabbage
02-09-2024,Sirsa,0.5,Tonnes,Cabbage,2200,3200,2700,Rs/Quintal,Cabbage
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),0.1,Tonnes,Capsicum,4000,5000,4500,Rs/Quintal,Capsicum
02-09-2024,Faridabad,2.25,Tonnes,Other,1200,2000,1600,Rs/Quintal,Capsicum
02-09-2024,Ganaur,2,Tonnes,Capsicum,5000,6000,5500,Rs/Quintal,Capsicum
02-09-2024,"New Grain Market(main), Karnal",2.5,Tonnes,Other,2500,4500,3500,Rs/Quintal,Capsicum
02-09-2024,Rania,2,Tonnes,Capsicum,1400,1700,1600,Rs/Quintal,Capsicum
02-09-2024,Sonepat,0.4,Tonnes,Other,3500,4000,4000,Rs/Quintal,Capsicum
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.2,Tonnes,Other,1500,1800,1600,Rs/Quintal,Carrot
02-09-2024,Sonepat,0.3,Tonnes,Other,3600,4200,4200,Rs/Quintal,Carrot
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),0.8,Tonnes,Other,2500,3000,2800,Rs/Quintal,Cauliflower
02-09-2024,Bhiwani,0.25,Tonnes,Other,3210,3870,3556,Rs/Quintal,Cauliflower
02-09-2024,Ganaur,0.4,Tonnes,Other,2500,3000,2800,Rs/Quintal,Cauliflower
02-09-2024,Gurgaon,15.6,Tonnes,Other,3000,5000,4000,Rs/Quintal,Cauliflower
02-09-2024,Hansi,0.9,Tonnes,Other,4000,4000,4000,Rs/Quintal,Cauliflower
02-09-2024,Jakhal,0.2,Tonnes,African Sarson,4300,4300,4300,Rs/Quintal,Cauliflower
02-09-2024,Ladwa,0.5,Tonnes,Cauliflower,3000,4000,3200,Rs/Quintal,Cauliflower
02-09-2024,Narnaul,0.4,Tonnes,Other,2500,4000,4000,Rs/Quintal,Cauliflower
02-09-2024,"New Grain Market(main), Karnal",11.9,Tonnes,Other,2000,3500,2750,Rs/Quintal,Cauliflower
02-09-2024,Siwan,0.2,Tonnes,Other,4000,4000,4000,Rs/Quintal,Cauliflower
02-09-2024,Sonepat,0.7,Tonnes,Other,5000,5800,5800,Rs/Quintal,Cauliflower
02-09-2024,,,,,,,,,
02-09-2024,Ladwa,0.2,Tonnes,Other,2500,2700,2500,Rs/Quintal,Colacasia
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.6,Tonnes,Other,1500,1600,1550,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Barwala(Hisar),1.4,Tonnes,Other,2200,2500,2400,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Ch. Dadri,14,Tonnes,Cucumbar,1500,2500,2000,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Faridabad,6,Tonnes,Other,1000,2200,1600,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Ganaur,0.6,Tonnes,Cucumbar,2500,3000,2800,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Hansi,3.2,Tonnes,Other,2000,2000,2000,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Hissar,6.9,Tonnes,Other,2000,2200,2200,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Jakhal,0.1,Tonnes,Other,2500,2500,2500,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Kosli,0.1,Tonnes,Other,1500,1500,1500,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Ladwa,0.6,Tonnes,Cucumbar,1400,2000,1400,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Narnaul,0.7,Tonnes,Other,1500,2500,2000,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Narwana,1,Tonnes,Cucumbar,2500,2500,2500,Rs/Quintal,Cucumbar(Kheera)
